Estado,Sesión,Fecha,Dia_Semana,Hora_Sorteo,Fijo
GA,Midday,2018-01-01,Monday,12:30,25.0
FL,Midday,2018-01-01,Monday,13:34,53.0
NY,Midday,2018-01-01,Monday,14:30,98.0
GA,Evening,2018-01-01,Monday,19:00,70.0
FL,Evening,2018-01-01,Monday,21:50,38.0
NY,Evening,2018-01-01,Monday,22:30,83.0
GA,Night,2018-01-01,Monday,23:34,97.0
GA,Midday,2018-01-02,Tuesday,12:30,31.0
FL,Midday,2018-01-02,Tuesday,13:34,42.0
NY,Midday,2018-01-02,Tuesday,14:30,66.0
GA,Evening,2018-01-02,Tuesday,19:00,40.0
FL,Evening,2018-01-02,Tuesday,21:50,86.0
NY,Evening,2018-01-02,Tuesday,22:30,89.0
GA,Night,2018-01-02,Tuesday,23:34,74.0
GA,Midday,2018-01-03,Wednesday,12:30,68.0
FL,Midday,2018-01-03,Wednesday,13:34,40.0
NY,Midday,2018-01-03,Wednesday,14:30,31.0
GA,Evening,2018-01-03,Wednesday,19:00,39.0
FL,Evening,2018-01-03,Wednesday,21:50,70.0
NY,Evening,2018-01-03,Wednesday,22:30,18.0
GA,Night,2018-01-03,Wednesday,23:34,25.0
GA,Midday,2018-01-04,Thursday,12:30,96.0
FL,Midday,2018-01-04,Thursday,13:34,21.0
NY,Midday,2018-01-04,Thursday,14:30,46.0
GA,Evening,2018-01-04,Thursday,19:00,15.0
FL,Evening,2018-01-04,Thursday,21:50,7.0
NY,Evening,2018-01-04,Thursday,22:30,65.0
GA,Night,2018-01-04,Thursday,23:34,12.0
GA,Midday,2018-01-05,Friday,12:30,5.0
FL,Midday,2018-01-05,Friday,13:34,21.0
NY,Midday,2018-01-05,Friday,14:30,3.0
GA,Evening,2018-01-05,Friday,19:00,15.0
FL,Evening,2018-01-05,Friday,21:50,30.0
NY,Evening,2018-01-05,Friday,22:30,46.0
GA,Night,2018-01-05,Friday,23:34,87.0
GA,Midday,2018-01-06,Saturday,12:30,19.0
FL,Midday,2018-01-06,Saturday,13:34,58.0
NY,Midday,2018-01-06,Saturday,14:30,49.0
GA,Evening,2018-01-06,Saturday,19:00,89.0
FL,Evening,2018-01-06,Saturday,21:50,61.0
NY,Evening,2018-01-06,Saturday,22:30,23.0
GA,Night,2018-01-06,Saturday,23:34,59.0
GA,Midday,2018-01-07,Sunday,12:30,16.0
FL,Midday,2018-01-07,Sunday,13:34,61.0
NY,Midday,2018-01-07,Sunday,14:30,36.0
GA,Evening,2018-01-07,Sunday,19:00,42.0
FL,Evening,2018-01-07,Sunday,21:50,43.0
NY,Evening,2018-01-07,Sunday,22:30,44.0
GA,Night,2018-01-07,Sunday,23:34,87.0
GA,Midday,2018-01-08,Monday,12:30,66.0
FL,Midday,2018-01-08,Monday,13:34,42.0
NY,Midday,2018-01-08,Monday,14:30,35.0
GA,Evening,2018-01-08,Monday,19:00,61.0
FL,Evening,2018-01-08,Monday,21:50,44.0
NY,Evening,2018-01-08,Monday,22:30,57.0
GA,Night,2018-01-08,Monday,23:34,68.0
GA,Midday,2018-01-09,Tuesday,12:30,38.0
FL,Midday,2018-01-09,Tuesday,13:34,3.0
NY,Midday,2018-01-09,Tuesday,14:30,11.0
GA,Evening,2018-01-09,Tuesday,19:00,15.0
FL,Evening,2018-01-09,Tuesday,21:50,90.0
NY,Evening,2018-01-09,Tuesday,22:30,46.0
GA,Night,2018-01-09,Tuesday,23:34,33.0
GA,Midday,2018-01-10,Wednesday,12:30,8.0
FL,Midday,2018-01-10,Wednesday,13:34,40.0
NY,Midday,2018-01-10,Wednesday,14:30,62.0
GA,Evening,2018-01-10,Wednesday,19:00,3.0
FL,Evening,2018-01-10,Wednesday,21:50,4.0
NY,Evening,2018-01-10,Wednesday,22:30,70.0
GA,Night,2018-01-10,Wednesday,23:34,68.0
GA,Midday,2018-01-11,Thursday,12:30,90.0
FL,Midday,2018-01-11,Thursday,13:34,6.0
NY,Midday,2018-01-11,Thursday,14:30,6.0
GA,Evening,2018-01-11,Thursday,19:00,71.0
FL,Evening,2018-01-11,Thursday,21:50,41.0
NY,Evening,2018-01-11,Thursday,22:30,10.0
GA,Night,2018-01-11,Thursday,23:34,56.0
GA,Midday,2018-01-12,Friday,12:30,58.0
FL,Midday,2018-01-12,Friday,13:34,96.0
NY,Midday,2018-01-12,Friday,14:30,9.0
GA,Evening,2018-01-12,Friday,19:00,30.0
FL,Evening,2018-01-12,Friday,21:50,83.0
NY,Evening,2018-01-12,Friday,22:30,25.0
GA,Night,2018-01-12,Friday,23:34,8.0
GA,Midday,2018-01-13,Saturday,12:30,37.0
FL,Midday,2018-01-13,Saturday,13:34,41.0
NY,Midday,2018-01-13,Saturday,14:30,33.0
GA,Evening,2018-01-13,Saturday,19:00,86.0
FL,Evening,2018-01-13,Saturday,21:50,51.0
NY,Evening,2018-01-13,Saturday,22:30,33.0
GA,Night,2018-01-13,Saturday,23:34,17.0
GA,Midday,2018-01-14,Sunday,12:30,78.0
FL,Midday,2018-01-14,Sunday,13:34,69.0
NY,Midday,2018-01-14,Sunday,14:30,46.0
GA,Evening,2018-01-14,Sunday,19:00,71.0
FL,Evening,2018-01-14,Sunday,21:50,4.0
NY,Evening,2018-01-14,Sunday,22:30,14.0
GA,Night,2018-01-14,Sunday,23:34,75.0
GA,Midday,2018-01-15,Monday,12:30,96.0
FL,Midday,2018-01-15,Monday,13:34,98.0
NY,Midday,2018-01-15,Monday,14:30,93.0
GA,Evening,2018-01-15,Monday,19:00,62.0
FL,Evening,2018-01-15,Monday,21:50,45.0
NY,Evening,2018-01-15,Monday,22:30,15.0
GA,Night,2018-01-15,Monday,23:34,66.0
GA,Midday,2018-01-16,Tuesday,12:30,77.0
FL,Midday,2018-01-16,Tuesday,13:34,55.0
NY,Midday,2018-01-16,Tuesday,14:30,43.0
GA,Evening,2018-01-16,Tuesday,19:00,5.0
FL,Evening,2018-01-16,Tuesday,21:50,90.0
NY,Evening,2018-01-16,Tuesday,22:30,23.0
GA,Night,2018-01-16,Tuesday,23:34,12.0
GA,Midday,2018-01-17,Wednesday,12:30,72.0
FL,Midday,2018-01-17,Wednesday,13:34,30.0
NY,Midday,2018-01-17,Wednesday,14:30,17.0
GA,Evening,2018-01-17,Wednesday,19:00,83.0
FL,Evening,2018-01-17,Wednesday,21:50,7.0
NY,Evening,2018-01-17,Wednesday,22:30,96.0
GA,Night,2018-01-17,Wednesday,23:34,48.0
GA,Midday,2018-01-18,Thursday,12:30,83.0
